cell	condition	cluster	donor
TAG29	5	1	1
TAG30	5	1	1
TAG31	5	1	1
TAG32	5	1	1
TAG33	5	1	1
TAG34	5	1	1
TAG3005	5	1	1
TAG36	5	1	1
TAG37	5	1	1
TAG39	5	1	1
TAG41	5	1	1
TAG42	5	1	1
TAG43	5	1	1
TAG4005	5	1	1
TAG46	5	1	1
TAG47	5	1	1
TAG48	5	1	1
TAG0050	5	1	1
TAG0051	5	1	1
TAG0054	5	1	1
TAG005005	5	1	1
TAG0058	5	1	1
TAG0059	5	1	1
TAG61	5	1	1
TAG62	5	1	1
TAG63	5	1	1
TAG64	5	1	1
TAG6005	5	1	1
TAG66	5	1	1
TAG67	5	1	1
TAG68	5	1	1
TAG70	5	1	1
TAG71	5	1	1
TAG73	5	1	1
TAG7005	5	1	1
TAG78	5	1	1
TAG80	5	1	1
TAG82	5	1	1
TAG83	5	1	1
TAG8005	5	1	1
TAG86	5	1	1
TAG88	5	1	1
TAG89	5	1	1
TAG90	5	1	1
TAG92	5	1	1
TAG93	5	1	1
TAG94	5	1	1
TAG9005	5	1	1
TAG96	5	1	1
TAG01	24	2	1
TAG02	24	5	1
TAG03	24	5	1
TAG04	24	5	1
TAG0005	24	2	1
TAG06	24	2	1
TAG07	24	2	1
TAG08	24	2	1
TAG09	24	2	1
TAG10	24	2	1
TAG11	24	2	1
TAG12	24	2	1
TAG13	24	2	1
TAG14	24	2	1
TAG1005	24	2	1
TAG16	24	2	1
TAG17	24	2	1
TAG18	24	2	1
TAG19	24	2	1
TAG20	24	2	1
TAG21	24	5	1
TAG22	24	2	1
TAG23	24	2	1
TAG24	24	2	1
TAG2005	24	2	1
TAG26	24	2	1
TAG27	24	2	1
TAG28	24	2	1
TAG29	24	2	1
TAG30	24	2	1
TAG31	24	2	1
TAG32	24	2	1
TAG33	24	2	1
TAG34	24	2	1
TAG3005	24	2	1
TAG36	24	5	1
TAG37	24	2	1
TAG38	24	2	1
TAG39	24	2	1
TAG40	24	2	1
TAG41	24	2	1
TAG42	24	2	1
TAG43	24	2	1
TAG44	24	2	1
TAG46	24	2	1
TAG47	24	2	1
TAG48	24	2	1
TAG49	24	2	1
TAG0050	24	2	1
TAG0051	24	2	1
TAG0052	24	2	1
TAG0053	24	2	1
TAG0054	24	2	1
TAG005005	24	2	1
TAG0056	24	2	1
TAG0057	24	2	1
TAG0058	24	2	1
TAG0059	24	2	1
TAG60	24	2	1
TAG61	24	2	1
TAG62	24	2	1
TAG63	24	2	1
TAG64	24	2	1
TAG6005	24	2	1
TAG66	24	2	1
TAG67	24	2	1
TAG68	24	2	1
TAG69	24	2	1
TAG70	24	2	1
TAG71	24	2	1
TAG72	24	2	1
TAG73	24	2	1
TAG74	24	2	1
TAG7005	24	2	1
TAG76	24	2	1
TAG77	24	2	1
TAG78	24	2	1
TAG79	24	2	1
TAG80	24	2	1
TAG81	24	2	1
TAG82	24	2	1
TAG83	24	2	1
TAG84	24	2	1
TAG8005	24	2	1
TAG86	24	2	1
TAG87	24	5	1
TAG88	24	2	1
TAG89	24	2	1
TAG90	24	2	1
TAG91	24	2	1
TAG92	24	2	1
TAG93	24	2	1
TAG94	24	2	1
TAG9005	24	2	1
TAG96	24	2	1
TAG02	48	5	1
TAG04	48	5	1
TAG0005	48	5	1
TAG06	48	5	1
TAG07	48	5	1
TAG08	48	3	1
TAG09	48	3	1
TAG10	48	3	1
TAG12	48	3	1
TAG13	48	4	1
TAG14	48	3	1
TAG1005	48	3	1
TAG16	48	3	1
TAG17	48	3	1
TAG18	48	5	1
TAG19	48	3	1
TAG20	48	3	1
TAG21	48	3	1
TAG22	48	3	1
TAG23	48	3	1
TAG24	48	3	1
TAG2005	48	4	1
TAG26	48	4	1
TAG27	48	4	1
TAG28	48	4	1
TAG29	48	3	1
TAG30	48	3	1
TAG32	48	3	1
TAG33	48	4	1
TAG34	48	4	1
TAG3005	48	4	1
TAG36	48	3	1
TAG37	48	4	1
TAG38	48	4	1
TAG39	48	4	1
TAG40	48	4	1
TAG41	48	3	1
TAG42	48	3	1
TAG44	48	4	1
TAG4005	48	3	1
TAG46	48	4	1
TAG47	48	4	1
TAG48	48	4	1
TAG49	48	3	1
TAG0050	48	4	1
TAG0051	48	4	1
TAG0052	48	4	1
TAG0053	48	3	1
TAG0054	48	3	1
TAG0056	48	5	1
TAG0057	48	4	1
TAG0058	48	4	1
TAG0059	48	4	1
TAG60	48	4	1
TAG61	48	4	1
TAG62	48	4	1
TAG63	48	4	1
TAG64	48	4	1
TAG6005	48	3	1
TAG66	48	3	1
TAG67	48	3	1
TAG68	48	3	1
TAG69	48	4	1
TAG70	48	4	1
TAG71	48	4	1
TAG72	48	3	1
TAG73	48	3	1
TAG74	48	4	1
TAG7005	48	3	1
TAG77	48	3	1
TAG78	48	3	1
TAG79	48	3	1
TAG80	48	3	1
TAG81	48	3	1
TAG82	48	4	1
TAG83	48	4	1
TAG8005	48	3	1
TAG86	48	3	1
TAG87	48	3	1
TAG88	48	3	1
TAG89	48	3	1
TAG90	48	5	1
TAG91	48	3	1
TAG92	48	3	1
TAG93	48	3	1
TAG94	48	3	1
TAG9005	48	3	1
TAG01	72	3	1
TAG02	72	5	1
TAG03	72	5	1
TAG04	72	3	1
TAG0005	72	5	1
TAG06	72	5	1
TAG07	72	5	1
TAG08	72	3	1
TAG09	72	3	1
TAG10	72	3	1
TAG11	72	3	1
TAG12	72	3	1
TAG13	72	4	1
TAG14	72	4	1
TAG1005	72	3	1
TAG16	72	3	1
TAG17	72	5	1
TAG18	72	3	1
TAG19	72	3	1
TAG20	72	3	1
TAG21	72	4	1
TAG22	72	4	1
TAG23	72	4	1
TAG24	72	3	1
TAG2005	72	4	1
TAG26	72	4	1
TAG27	72	4	1
TAG28	72	4	1
TAG29	72	4	1
TAG30	72	3	1
TAG31	72	3	1
TAG32	72	4	1
TAG33	72	4	1
TAG34	72	4	1
TAG3005	72	4	1
TAG36	72	4	1
TAG37	72	4	1
TAG38	72	4	1
TAG39	72	4	1
TAG40	72	4	1
TAG41	72	4	1
TAG42	72	3	1
TAG43	72	3	1
TAG44	72	4	1
TAG4005	72	4	1
TAG46	72	4	1
TAG47	72	4	1
TAG48	72	4	1
TAG49	72	4	1
TAG0050	72	4	1
TAG0051	72	4	1
TAG0052	72	4	1
TAG0053	72	4	1
TAG0054	72	3	1
TAG005005	72	4	1
TAG0056	72	4	1
TAG0057	72	4	1
TAG0058	72	4	1
TAG0059	72	4	1
TAG60	72	4	1
TAG61	72	4	1
TAG62	72	4	1
TAG63	72	4	1
TAG64	72	4	1
TAG6005	72	3	1
TAG66	72	3	1
TAG67	72	3	1
TAG68	72	4	1
TAG69	72	4	1
TAG71	72	4	1
TAG73	72	3	1
TAG74	72	4	1
TAG7005	72	4	1
TAG76	72	4	1
TAG77	72	3	1
TAG78	72	3	1
TAG79	72	3	1
TAG80	72	4	1
TAG81	72	4	1
TAG82	72	4	1
TAG83	72	4	1
TAG84	72	4	1
TAG8005	72	3	1
TAG86	72	3	1
TAG87	72	3	1
TAG88	72	3	1
TAG89	72	3	1
TAG90	72	3	1
TAG91	72	3	1
TAG92	72	3	1
TAG93	72	3	1
TAG94	72	3	1
TAG9005	72	3	1
TAG96	72	3	1
TAG01	96	5	1
TAG02	96	5	1
TAG03	96	5	1
TAG04	96	5	1
TAG0005	96	5	1
TAG06	96	5	1
TAG07	96	5	1
TAG08	96	5	1
TAG09	96	5	1
TAG10	96	5	1
TAG11	96	5	1
TAG12	96	5	1
TAG13	96	5	1
TAG14	96	5	1
TAG1005	96	5	1
TAG16	96	5	1
TAG17	96	5	1
TAG18	96	5	1
TAG19	96	5	1
TAG20	96	5	1
TAG21	96	5	1
TAG22	96	5	1
TAG23	96	5	1
TAG2005	96	5	1
TAG26	96	5	1
TAG27	96	5	1
TAG29	96	5	1
TAG30	96	5	1
TAG31	96	5	1
TAG32	96	5	1
TAG33	96	5	1
TAG37	96	5	1
TAG38	96	5	1
TAG40	96	5	1
TAG41	96	5	1
TAG42	96	5	1
TAG43	96	5	1
TAG44	96	5	1
TAG4005	96	5	1
TAG46	96	5	1
TAG49	96	5	1
TAG0051	96	5	1
TAG0052	96	5	1
TAG0054	96	5	1
TAG005005	96	5	1
TAG0056	96	5	1
TAG0059	96	5	1
TAG60	96	5	1
TAG61	96	5	1
TAG62	96	5	1
TAG64	96	5	1
TAG66	96	5	1
TAG67	96	5	1
TAG69	96	5	1
TAG70	96	5	1
TAG71	96	5	1
TAG72	96	5	1
TAG73	96	5	1
TAG78	96	5	1
TAG86	96	5	1
TAG89	96	5	1
TAG90	96	5	1
TAG92	96	5	1
TAG93	96	5	1
TAG9005	96	5	1
TAG96	96	5	1
